iteration,loss,return
1,0.7324296633402506,0.7940964592827691
2,0.6140919725100199,0.7171051025390625
3,0.5435388882954916,0.12712237040201824
4,0.485078106323878,0.4756335788302951
5,0.5999218424161276,0.33969849480523
6,0.5360880494117737,0.5430108388264974
7,0.7210618257522583,0.933321041531033
8,0.5676752726236979,0.9797292921278212
9,0.4791991611321767,0.8809293111165365
10,0.8271281123161316,1.2206067403157552
11,0.7120539744695028,0.35982250637478297
12,0.6100051800409952,0.8164927164713541
13,0.6121586163838705,0.7428759256998698
14,0.4119015534718831,0.7997832404242622
15,0.5853042205174764,0.6516011132134332
16,0.5937246481577555,1.047371080186632
17,0.5164679288864136,0.9506686740451389
18,0.5169851183891296,0.4471796671549479
19,0.46615172425905865,0.7097689734564887
20,0.420040100812912,1.0343882242838542
21,0.5152819156646729,1.1342505560980902
22,0.4740936756134033,1.027245585123698
23,0.5358173251152039,1.2295827229817708
24,0.4659569064776103,0.9768492804633246
25,0.7164347171783447,0.9402054680718316
26,0.4917272925376892,1.4953470865885417
27,0.5292049845059713,1.7114861382378472
28,0.7782498399416605,2.4139706081814234
29,0.5239187876383463,1.9022915310329862
30,0.5390279094378153,1.945184326171875
31,0.42504996061325073,1.9770577324761285
32,0.45528945326805115,2.271381632486979
33,0.41780713200569153,2.123957994249132
34,0.4458360473314921,2.3705795288085936
35,0.46915196379025775,2.1099846733940972
36,0.436332106590271,2.328935072157118
37,0.49221132198969525,2.2832021077473956
38,0.410861740509669,2.336786566840278
39,0.42256025473276776,2.059523688422309
40,0.5154880086580912,2.1095272488064234
41,0.46126742164293927,1.9855914645724826
42,0.4868228038152059,2.1412838406032986
43,0.43357707063357037,2.2725321451822915
44,0.4732661048571269,2.2966432359483506
45,0.4304140508174896,2.0204525417751737
46,0.4562252958615621,2.1444671630859373
47,0.5303492744763693,2.234513685438368
48,0.42279234528541565,2.105402628580729
49,0.4125272333621979,2.0624864366319446
50,0.4593439002831777,2.372216796875
51,0.4168127179145813,1.946404012044271
52,0.4250849386056264,2.314227803548177
53,0.4174211223920186,1.7872185601128472
54,0.40960026780764264,2.02870602077908
55,0.4338334898153941,2.0096072726779513
56,0.3764835794766744,2.008383517795139
57,0.43318963050842285,1.8002098931206598
58,0.34975088636080426,1.6159059312608508
59,0.451037456591924,1.3269646538628472
60,0.3212176163991292,1.5276538425021702
61,0.40977256496747333,1.4851721869574652
62,0.3915649155775706,1.6932405259874133
63,0.4096027712027232,1.9685333251953125
64,0.4160551428794861,1.9982130262586806
65,0.36732596158981323,1.897495863172743
66,0.383190780878067,1.9832163492838542
67,0.30904799699783325,1.8066365559895834
68,0.37007181843121845,1.710912577311198
69,0.2870299120744069,1.9884657118055555
70,0.2911179761091868,1.761419677734375
71,0.4284830292065938,1.7927961561414931
72,0.30741440256436664,1.7839745415581598
73,0.3317955533663432,1.6251458062065973
74,0.351229468981425,1.66846923828125
75,0.3185305595397949,1.8045096503363716
76,0.31928619742393494,1.9542212592230903
77,0.320075790087382,2.0094407823350693
78,0.40348196029663086,1.7159749348958333
79,0.2842913170655568,1.7871490478515626
80,0.3513996998469035,1.9337293836805556
81,0.3542204002539317,1.6252661810980902
